CODE,LIBELLE
4633Z,"COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE PRODUITS LAITIERS, ŒUFS, HUILES ET MATIERES GRASSES COMESTIBLES"
4634Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE BOISSONS
4635Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE PRODUITS A BASE DE TABAC
4636Z,"COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE SUCRE, CHOCOLAT ET CONFISERIE"
4637Z,"COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE CAFE, THE, CACAO ET EPICES"
4638A,"COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE POISSONS, CRUSTACES ET MOLLUSQUES"
4638B,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) ALIMENTAIRE SPECIALISE DIVERS
4639A,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE PRODUITS SURGELES
4639B,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) ALIMENTAIRE NON SPECIALISE
4641Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE TEXTILES
4642Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D HABILLEMENT ET DE CHAUSSURES
4643Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D APPAREILS ELECTROMENAGERS
4644Z,"COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE VAISSELLE, VERRERIE ET PRODUITS D ENTRETIEN"
4645Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE PARFUMERIE ET DE PRODUITS DE BEAUTE
4646Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE PRODUITS PHARMACEUTIQUES
4647Z,"COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE MEUBLES, DE TAPIS ET D APPAREILS D ECLAIRAGE"
4648Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D ARTICLES D HORLOGERIE ET DE BIJOUTERIE
4649Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D AUTRES BIENS DOMESTIQUES
4651Z,"COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D ORDINATEURS, D EQUIPEMENTS INFORMATIQUES PERIPHERIQUES ET DE LOGICIELS"
4652Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE COMPOSANTS ET D EQUIPEMENTS ELECTRONIQUES ET DE TELECOMMUNICATION
4661Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE MATERIEL AGRICOLE
4662Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE MACHINES-OUTILS
4663Z,"COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE MACHINES POUR L EXTRACTION, LA CONSTRUCTION ET LE GENIE CIVIL"
4664Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE MACHINES POUR L INDUSTRIE TEXTILE ET L HABILLEMENT
4665Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE MOBILIER DE BUREAU
4666Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D AUTRES MACHINES ET EQUIPEMENTS DE BUREAU
4669A,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE MATERIEL ELECTRIQUE
4669B,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE FOURNITURES ET EQUIPEMENTS INDUSTRIELS DIVERS
4669C,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE FOURNITURES ET EQUIPEMENTS DIVERS POUR LE COMMERCE ET LES SERVICES
4671Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE COMBUSTIBLES ET DE PRODUITS ANNEXES
4672Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE MINERAIS ET METAUX
4673A,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE BOIS ET DE MATERIAUX DE CONSTRUCTION
4673B,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D APPAREILS SANITAIRES ET DE PRODUITS DE DECORATION
4674A,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE QUINCAILLERIE
4674B,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE FOURNITURES POUR LA PLOMBERIE ET LE CHAUFFAGE
4675Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE PRODUITS CHIMIQUES
4676Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D AUTRES PRODUITS INTERMEDIAIRES
4677Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE DECHETS ET DEBRIS
4690Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) NON SPECIALISE
4711A,COMMERCE DE DETAIL DE PRODUITS SURGELES
4711B,COMMERCE D ALIMENTATION GENERALE
4711C,SUPERETTES
4711D,SUPERMARCHES
4711E,MAGASINS MULTI-COMMERCES
4711F,HYPERMARCHES
4719A,GRANDS MAGASINS
4719B,AUTRES COMMERCES DE DETAIL EN MAGASIN NON SPECIALISE
4721Z,COMMERCE DE DETAIL DE FRUITS ET LEGUMES EN MAGASIN SPECIALISE
4722Z,COMMERCE DE DETAIL DE VIANDES ET DE PRODUITS A BASE DE VIANDE EN MAGASIN SPECIALISE
4723Z,"COMMERCE DE DETAIL DE POISSONS, CRUSTACES ET MOLLUSQUES EN MAGASIN SPECIALISE"
4724Z,"COMMERCE DE DETAIL DE PAIN, PATISSERIE ET CONFISERIE EN MAGASIN SPECIALISE"
4725Z,COMMERCE DE DETAIL DE BOISSONS EN MAGASIN SPECIALISE
4726Z,COMMERCE DE DETAIL DE PRODUITS A BASE DE TABAC EN MAGASIN SPECIALISE
4729Z,AUTRES COMMERCES DE DETAIL ALIMENTAIRES EN MAGASIN SPECIALISE
4730Z,COMMERCE DE DETAIL DE CARBURANTS EN MAGASIN SPECIALISE
4741Z,"COMMERCE DE DETAIL D ORDINATEURS, D UNITES PERIPHERIQUES ET DE LOGICIELS EN MAGASIN SPECIALISE"
4742Z,COMMERCE DE DETAIL DE MATERIELS DE TELECOMMUNICATION EN MAGASIN SPECIALISE
4743Z,COMMERCE DE DETAIL DE MATERIELS AUDIO ET VIDEO EN MAGASIN SPECIALISE
4751Z,COMMERCE DE DETAIL DE TEXTILES EN MAGASIN SPECIALISE
4752A,"COMMERCE DE DETAIL DE QUINCAILLERIE, PEINTURES ET VERRES EN PETITES SURFACES (MOINS DE 400 M²)"
4752B,"COMMERCE DE DETAIL DE QUINCAILLERIE, PEINTURES ET VERRES EN GRANDES SURFACES (400 M² ET PLUS)"
4753Z,"COMMERCE DE DETAIL DE TAPIS, MOQUETTES ET REVÊTEMENTS DE MURS ET DE SOLS EN MAGASIN SPECIALISE"
4754Z,COMMERCE DE DETAIL D APPAREILS ELECTROMENAGERS EN MAGASIN SPECIALISE
4759A,COMMERCE DE DETAIL DE MEUBLES
4759B,COMMERCE DE DETAIL D AUTRES EQUIPEMENTS DU FOYER
4761Z,COMMERCE DE DETAIL DE LIVRES EN MAGASIN SPECIALISE
4762Z,COMMERCE DE DETAIL DE JOURNAUX ET PAPETERIE EN MAGASIN SPECIALISE
4763Z,COMMERCE DE DETAIL D ENREGISTREMENTS MUSICAUX ET VIDEO EN MAGASIN SPECIALISE
4764Z,COMMERCE DE DETAIL D ARTICLES DE SPORT EN MAGASIN SPECIALISE
4765Z,COMMERCE DE DETAIL DE JEUX ET JOUETS EN MAGASIN SPECIALISE
4771Z,COMMERCE DE DETAIL D HABILLEMENT EN MAGASIN SPECIALISE
4772A,COMMERCE DE DETAIL DE LA CHAUSSURE
4772B,COMMERCE DE DETAIL DE MAROQUINERIE ET D ARTICLES DE VOYAGE
4773Z,COMMERCE DE DETAIL DE PRODUITS PHARMACEUTIQUES EN MAGASIN SPECIALISE
4774Z,COMMERCE DE DETAIL D ARTICLES MEDICAUX ET ORTHOPEDIQUES EN MAGASIN SPECIALISE
4775Z,COMMERCE DE DETAIL DE PARFUMERIE ET DE PRODUITS DE BEAUTE EN MAGASIN SPECIALISE
4776Z,"COMMERCE DE DETAIL DE FLEURS, PLANTES, GRAINES, ENGRAIS, ANIMAUX DE COMPAGNIE ET ALIMENTS POUR CES ANIMAUX EN MAGASIN SPECIALISE"
4777Z,COMMERCE DE DETAIL D ARTICLES D HORLOGERIE ET DE BIJOUTERIE EN MAGASIN SPECIALISE
4778A,COMMERCES DE DETAIL D OPTIQUE
4778B,COMMERCES DE DETAIL DE CHARBONS ET COMBUSTIBLES
4778C,AUTRES COMMERCES DE DETAIL SPECIALISES DIVERS
4779Z,COMMERCE DE DETAIL DE BIENS D OCCASION EN MAGASIN
4781Z,COMMERCE DE DETAIL ALIMENTAIRE SUR EVENTAIRES ET MARCHES
4782Z,"COMMERCE DE DETAIL DE TEXTILES, D HABILLEMENT ET DE CHAUSSURES SUR EVENTAIRES ET MARCHES"
4789Z,AUTRES COMMERCES DE DETAIL SUR EVENTAIRES ET MARCHES
4791A,VENTE A DISTANCE SUR CATALOGUE GENERAL
4791B,VENTE A DISTANCE SUR CATALOGUE SPECIALISE
4799A,VENTE A DOMICILE
4799B,"VENTE PAR AUTOMATES ET AUTRES COMMERCES DE DETAIL HORS MAGASIN, EVENTAIRES OU MARCHES N.C.A."
4910Z,TRANSPORT FERROVIAIRE INTERURBAIN DE VOYAGEURS
4920Z,TRANSPORTS FERROVIAIRES DE FRET
4931Z,TRANSPORTS URBAINS ET SUBURBAINS DE VOYAGEURS
4932Z,TRANSPORTS DE VOYAGEURS PAR TAXIS
4939A,TRANSPORTS ROUTIERS REGULIERS DE VOYAGEURS
4939B,AUTRES TRANSPORTS ROUTIERS DE VOYAGEURS
4939C,TELEPHERIQUES ET REMONTEES MECANIQUES
4941A,TRANSPORTS ROUTIERS DE FRET INTERURBAINS
4941B,TRANSPORTS ROUTIERS DE FRET DE PROXIMITE
4941C,LOCATION DE CAMIONS AVEC CHAUFFEUR
4942Z,SERVICES DE DEMENAGEMENT
4950Z,TRANSPORTS PAR CONDUITES
5010Z,TRANSPORTS MARITIMES ET CÔTIERS DE PASSAGERS
5020Z,TRANSPORTS MARITIMES ET CÔTIERS DE FRET
5030Z,TRANSPORTS FLUVIAUX DE PASSAGERS
5040Z,TRANSPORTS FLUVIAUX DE FRET
5110Z,TRANSPORTS AERIENS DE PASSAGERS
5121Z,TRANSPORTS AERIENS DE FRET
5122Z,TRANSPORTS SPATIAUX
5210A,ENTREPOSAGE ET STOCKAGE FRIGORIFIQUE
5210B,ENTREPOSAGE ET STOCKAGE NON FRIGORIFIQUE
5221Z,SERVICES AUXILIAIRES DES TRANSPORTS TERRESTRES
5222Z,SERVICES AUXILIAIRES DES TRANSPORTS PAR EAU
5223Z,SERVICES AUXILIAIRES DES TRANSPORTS AERIENS
5224A,MANUTENTION PORTUAIRE
5224B,MANUTENTION NON PORTUAIRE
5229A,"MESSAGERIE, FRET EXPRESS"
5229B,AFFRETEMENT ET ORGANISATION DES TRANSPORTS
5310Z,ACTIVITES DE POSTE DANS LE CADRE D UNE OBLIGATION DE SERVICE UNIVERSEL
5320Z,AUTRES ACTIVITES DE POSTE ET DE COURRIER
5510Z,HÔTELS ET HEBERGEMENT SIMILAIRE
5520Z,HEBERGEMENT TOURISTIQUE ET AUTRE HEBERGEMENT DE COURTE DUREE
5530Z,TERRAINS DE CAMPING ET PARCS POUR CARAVANES OU VEHICULES DE LOISIRS
5590Z,AUTRES HEBERGEMENTS
5610A,RESTAURATION TRADITIONNELLE
5610B,CAFETERIAS ET AUTRES LIBRES-SERVICES
5610C,RESTAURATION DE TYPE RAPIDE
5621Z,SERVICES DES TRAITEURS
5629A,RESTAURATION COLLECTIVE SOUS CONTRAT
5629B,AUTRES SERVICES DE RESTAURATION N.C.A.
5630Z,DEBITS DE BOISSONS
5811Z,EDITION DE LIVRES
5812Z,EDITION DE REPERTOIRES ET DE FICHIERS D ADRESSES
5813Z,EDITION DE JOURNAUX
5814Z,EDITION DE REVUES ET PERIODIQUES
5819Z,AUTRES ACTIVITES D EDITION
5821Z,EDITION DE JEUX ELECTRONIQUES
5829A,EDITION DE LOGICIELS SYSTEME ET DE RESEAU
5829B,EDITION DE LOGICIELS OUTILS DE DEVELOPPEMENT ET DE LANGAGES
5829C,EDITION DE LOGICIELS APPLICATIFS
5911A,PRODUCTION DE FILMS ET DE PROGRAMMES POUR LA TELEVISION
5911B,PRODUCTION DE FILMS INSTITUTIONNELS ET PUBLICITAIRES
5911C,PRODUCTION DE FILMS POUR LE CINEMA
5912Z,"POST-PRODUCTION DE FILMS CINEMATOGRAPHIQUES, DE VIDEO ET DE PROGRAMMES DE TELEVISION"
5913A,DISTRIBUTION DE FILMS CINEMATOGRAPHIQUES
5913B,EDITION ET DISTRIBUTION VIDEO
5914Z,PROJECTION DE FILMS CINEMATOGRAPHIQUES
5920Z,ENREGISTREMENT SONORE ET EDITION MUSICALE
6010Z,EDITION ET DIFFUSION DE PROGRAMMES RADIO
6020A,EDITION DE CHAÎNES GENERALISTES
6020B,EDITION DE CHAÎNES THEMATIQUES
6110Z,TELECOMMUNICATIONS FILAIRES
6120Z,TELECOMMUNICATIONS SANS FIL
6130Z,TELECOMMUNICATIONS PAR SATELLITE
6190Z,AUTRES ACTIVITES DE TELECOMMUNICATION
6201Z,PROGRAMMATION INFORMATIQUE
6202A,CONSEIL EN SYSTEMES ET LOGICIELS INFORMATIQUES
6202B,TIERCE MAINTENANCE DE SYSTEMES ET D APPLICATIONS INFORMATIQUES
6203Z,GESTION D INSTALLATIONS INFORMATIQUES
6209Z,AUTRES ACTIVITES INFORMATIQUES
6311Z,"TRAITEMENT DE DONNEES, HEBERGEMENT ET ACTIVITES CONNEXES"
6312Z,PORTAILS INTERNET
6391Z,ACTIVITES DES AGENCES DE PRESSE
6399Z,AUTRES SERVICES D INFORMATION N.C.A.
6411Z,ACTIVITES DE BANQUE CENTRALE
6419Z,AUTRES INTERMEDIATIONS MONETAIRES
6420Z,ACTIVITES DES SOCIETES HOLDING
6430Z,FONDS DE PLACEMENT ET ENTITES FINANCIERES SIMILAIRES
6491Z,CREDIT-BAIL
6492Z,AUTRE DISTRIBUTION DE CREDIT
6499Z,"AUTRES ACTIVITES DES SERVICES FINANCIERS, HORS ASSURANCE ET CAISSES DE RETRAITE, N.C.A."
6511Z,ASSURANCE VIE
6512Z,AUTRES ASSURANCES
6520Z,REASSURANCE
6530Z,CAISSES DE RETRAITE
6611Z,ADMINISTRATION DE MARCHES FINANCIERS
6612Z,COURTAGE DE VALEURS MOBILIERES ET DE MARCHANDISES
6619A,SUPPORTS JURIDIQUES DE GESTION DE PATRIMOINE MOBILIER
6619B,"AUTRES ACTIVITES AUXILIAIRES DE SERVICES FINANCIERS, HORS ASSURANCE ET CAISSES DE RETRAITE, N.C.A."
6621Z,EVALUATION DES RISQUES ET DOMMAGES
6622Z,ACTIVITES DES AGENTS ET COURTIERS D ASSURANCES
6629Z,AUTRES ACTIVITES AUXILIAIRES D ASSURANCE ET DE CAISSES DE RETRAITE
6630Z,GESTION DE FONDS
6810Z,ACTIVITES DES MARCHANDS DE BIENS IMMOBILIERS
6820A,LOCATION DE LOGEMENTS
6820B,LOCATION DE TERRAINS ET D AUTRES BIENS IMMOBILIERS
6831Z,AGENCES IMMOBILIERES
6832A,ADMINISTRATION D IMMEUBLES ET AUTRES BIENS IMMOBILIERS
6832B,SUPPORTS JURIDIQUES DE GESTION DE PATRIMOINE IMMOBILIER
6910Z,ACTIVITES JURIDIQUES
6920Z,ACTIVITES COMPTABLES
7010Z,ACTIVITES DES SIEGES SOCIAUX
7021Z,CONSEIL EN RELATIONS PUBLIQUES ET COMMUNICATION
7022Z,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION
7111Z,ACTIVITES D ARCHITECTURE
7112A,ACTIVITE DES GEOMETRES
7112B,"INGENIERIE, ETUDES TECHNIQUES"
7120A,CONTRÔLE TECHNIQUE AUTOMOBILE
7120B,"ANALYSES, ESSAIS ET INSPECTIONS TECHNIQUES"
7211Z,RECHERCHE-DEVELOPPEMENT EN BIOTECHNOLOGIE
7219Z,RECHERCHE-DEVELOPPEMENT EN AUTRES SCIENCES PHYSIQUES ET NATURELLES
7220Z,RECHERCHE-DEVELOPPEMENT EN SCIENCES HUMAINES ET SOCIALES
7311Z,ACTIVITES DES AGENCES DE PUBLICITE
7312Z,REGIE PUBLICITAIRE DE MEDIAS
7320Z,ETUDES DE MARCHE ET SONDAGES
7410Z,ACTIVITES SPECIALISEES DE DESIGN
7420Z,ACTIVITES PHOTOGRAPHIQUES
7430Z,TRADUCTION ET INTERPRETATION
7490A,ACTIVITE DES ECONOMISTES DE LA CONSTRUCTION
7490B,"ACTIVITES SPECIALISEES, SCIENTIFIQUES ET TECHNIQUES DIVERSES"
7500Z,ACTIVITES VETERINAIRES
7711A,LOCATION DE COURTE DUREE DE VOITURES ET DE VEHICULES AUTOMOBILES LEGERS
7711B,LOCATION DE LONGUE DUREE DE VOITURES ET DE VEHICULES AUTOMOBILES LEGERS
7712Z,LOCATION ET LOCATION-BAIL DE CAMIONS
7721Z,LOCATION ET LOCATION-BAIL D ARTICLES DE LOISIRS ET DE SPORT
7722Z,LOCATION DE VIDEOCASSETTES ET DISQUES VIDEO
7729Z,LOCATION ET LOCATION-BAIL D AUTRES BIENS PERSONNELS ET DOMESTIQUES
7731Z,LOCATION ET LOCATION-BAIL DE MACHINES ET EQUIPEMENTS AGRICOLES
7732Z,LOCATION ET LOCATION-BAIL DE MACHINES ET EQUIPEMENTS POUR LA CONSTRUCTION
7733Z,LOCATION ET LOCATION-BAIL DE MACHINES DE BUREAU ET DE MATERIEL INFORMATIQUE
7734Z,LOCATION ET LOCATION-BAIL DE MATERIELS DE TRANSPORT PAR EAU
7735Z,LOCATION ET LOCATION-BAIL DE MATERIELS DE TRANSPORT AERIEN
7739Z,"LOCATION ET LOCATION-BAIL D AUTRES MACHINES, EQUIPEMENTS ET BIENS MATERIELS N.C.A."
7740Z,"LOCATION-BAIL DE PROPRIETE INTELLECTUELLE ET DE PRODUITS SIMILAIRES, A L EXCEPTION DES ŒUVRES SOUMISES A COPYRIGHT"
7810Z,ACTIVITES DES AGENCES DE PLACEMENT DE MAIN-D ŒUVRE
7820Z,ACTIVITES DES AGENCES DE TRAVAIL TEMPORAIRE
7830Z,AUTRE MISE A DISPOSITION DE RESSOURCES HUMAINES
7911Z,ACTIVITES DES AGENCES DE VOYAGE
7912Z,ACTIVITES DES VOYAGISTES
7990Z,AUTRES SERVICES DE RESERVATION ET ACTIVITES CONNEXES
8010Z,ACTIVITES DE SECURITE PRIVEE
8020Z,ACTIVITES LIEES AUX SYSTEMES DE SECURITE
8030Z,ACTIVITES D ENQUÊTE
8110Z,ACTIVITES COMBINEES DE SOUTIEN LIE AUX BATIMENTS
8121Z,NETTOYAGE COURANT DES BATIMENTS
8122Z,AUTRES ACTIVITES DE NETTOYAGE DES BATIMENTS ET NETTOYAGE INDUSTRIEL
8129A,"DESINFECTION, DESINSECTISATION, DERATISATION"
8129B,AUTRES ACTIVITES DE NETTOYAGE N.C.A.
8130Z,SERVICES D AMENAGEMENT PAYSAGER
8211Z,SERVICES ADMINISTRATIFS COMBINES DE BUREAU
8219Z,"PHOTOCOPIE, PREPARATION DE DOCUMENTS ET AUTRES ACTIVITES SPECIALISEES DE SOUTIEN DE BUREAU"
8220Z,ACTIVITES DE CENTRES D APPELS
8230Z,"ORGANISATION DE FOIRES, SALONS PROFESSIONNELS ET CONGRES"
8291Z,ACTIVITES DES AGENCES DE RECOUVREMENT DE FACTURES ET DES SOCIETES D INFORMATION FINANCIERE SUR LA CLIENTELE
8292Z,ACTIVITES DE CONDITIONNEMENT
8299Z,AUTRES ACTIVITES DE SOUTIEN AUX ENTREPRISES N.C.A.
8411Z,ADMINISTRATION PUBLIQUE GENERALE
8412Z,"ADMINISTRATION PUBLIQUE (TUTELLE) DE LA SANTE, DE LA FORMATION, DE LA CULTURE ET DES SERVICES SOCIAUX, AUTRE QUE SECURITE SOCIALE"
8413Z,ADMINISTRATION PUBLIQUE (TUTELLE) DES ACTIVITES ECONOMIQUES
8421Z,AFFAIRES ETRANGERES
8422Z,DEFENSE
8423Z,JUSTICE
8424Z,ACTIVITES D ORDRE PUBLIC ET DE SECURITE
8425Z,SERVICES DU FEU ET DE SECOURS
8430A,ACTIVITES GENERALES DE SECURITE SOCIALE
8430B,GESTION DES RETRAITES COMPLEMENTAIRES
8430C,DISTRIBUTION SOCIALE DE REVENUS
8510Z,ENSEIGNEMENT PRE-PRIMAIRE
8520Z,ENSEIGNEMENT PRIMAIRE
8531Z,ENSEIGNEMENT SECONDAIRE GENERAL
8532Z,ENSEIGNEMENT SECONDAIRE TECHNIQUE OU PROFESSIONNEL
8541Z,ENSEIGNEMENT POST-SECONDAIRE NON SUPERIEUR
8542Z,ENSEIGNEMENT SUPERIEUR
8551Z,ENSEIGNEMENT DE DISCIPLINES SPORTIVES ET D ACTIVITES DE LOISIRS
8552Z,ENSEIGNEMENT CULTUREL
8553Z,ENSEIGNEMENT DE LA CONDUITE
8559A,FORMATION CONTINUE D ADULTES
8559B,AUTRES ENSEIGNEMENTS
8560Z,ACTIVITES DE SOUTIEN A L ENSEIGNEMENT
8610Z,ACTIVITES HOSPITALIERES
8621Z,ACTIVITE DES MEDECINS GENERALISTES
8622A,ACTIVITES DE RADIODIAGNOSTIC ET DE RADIOTHERAPIE
8622B,ACTIVITES CHIRURGICALES
8622C,AUTRES ACTIVITES DES MEDECINS SPECIALISTES
8623Z,PRATIQUE DENTAIRE
8690A,AMBULANCES
8690B,LABORATOIRES D ANALYSES MEDICALES
8690C,CENTRES DE COLLECTE ET BANQUES D ORGANES
8690D,ACTIVITES DES INFIRMIERS ET DES SAGES-FEMMES
8690E,"ACTIVITES DES PROFESSIONNELS DE LA REEDUCATION, DE L APPAREILLAGE ET DES PEDICURES-PODOLOGUES"
8690F,ACTIVITES DE SANTE HUMAINE NON CLASSEES AILLEURS
8710A,HEBERGEMENT MEDICALISE POUR PERSONNES AGEES
8710B,HEBERGEMENT MEDICALISE POUR ENFANTS HANDICAPES
8710C,HEBERGEMENT MEDICALISE POUR ADULTES HANDICAPES ET AUTRE HEBERGEMENT MEDICALISE
8720A,HEBERGEMENT SOCIAL POUR HANDICAPES MENTAUX ET MALADES MENTAUX
8720B,HEBERGEMENT SOCIAL POUR TOXICOMANES
8730A,HEBERGEMENT SOCIAL POUR PERSONNES AGEES
8730B,HEBERGEMENT SOCIAL POUR HANDICAPES PHYSIQUES
8790A,HEBERGEMENT SOCIAL POUR ENFANTS EN DIFFICULTES
8790B,HEBERGEMENT SOCIAL POUR ADULTES ET FAMILLES EN DIFFICULTES ET AUTRE HEBERGEMENT SOCIAL
8810A,AIDE A DOMICILE
8810B,ACCUEIL OU ACCOMPAGNEMENT SANS HEBERGEMENT D ADULTES HANDICAPES OU DE PERSONNES AGEES
8810C,AIDE PAR LE TRAVAIL
8891A,ACCUEIL DE JEUNES ENFANTS
8891B,ACCUEIL OU ACCOMPAGNEMENT SANS HEBERGEMENT D ENFANTS HANDICAPES
8899A,AUTRE ACCUEIL OU ACCOMPAGNEMENT SANS HEBERGEMENT D ENFANTS ET D ADOLESCENTS
8899B,ACTION SOCIALE SANS HEBERGEMENT N.C.A.
9001Z,ARTS DU SPECTACLE VIVANT
9002Z,ACTIVITES DE SOUTIEN AU SPECTACLE VIVANT
9003A,CREATION ARTISTIQUE RELEVANT DES ARTS PLASTIQUES
9003B,AUTRE CREATION ARTISTIQUE
9004Z,GESTION DE SALLES DE SPECTACLES
9101Z,GESTION DES BIBLIOTHEQUES ET DES ARCHIVES
9102Z,GESTION DES MUSEES
9103Z,GESTION DES SITES ET MONUMENTS HISTORIQUES ET DES ATTRACTIONS TOURISTIQUES SIMILAIRES
9104Z,GESTION DES JARDINS BOTANIQUES ET ZOOLOGIQUES ET DES RESERVES NATURELLES
9200Z,ORGANISATION DE JEUX DE HASARD ET D ARGENT
9311Z,GESTION D INSTALLATIONS SPORTIVES
9312Z,ACTIVITES DE CLUBS DE SPORTS
9313Z,ACTIVITES DES CENTRES DE CULTURE PHYSIQUE
9319Z,AUTRES ACTIVITES LIEES AU SPORT 
9321Z,ACTIVITES DES PARCS D ATTRACTIONS ET PARCS A THEMES 
9329Z,AUTRES ACTIVITES RECREATIVES ET DE LOISIRS 
9411Z,ACTIVITES DES ORGANISATIONS PATRONALES ET CONSULAIRES 
9412Z,ACTIVITES DES ORGANISATIONS PROFESSIONNELLES 
9420Z,ACTIVITES DES SYNDICATS DE SALARIES 
9491Z,ACTIVITES DES ORGANISATIONS RELIGIEUSES 
9492Z,ACTIVITES DES ORGANISATIONS POLITIQUES 
9499Z,AUTRES ORGANISATIONS FONCTIONNANT PAR ADHESION VOLONTAIRE 
9511Z,REPARATION D ORDINATEURS ET D EQUIPEMENTS PERIPHERIQUES 
9512Z,REPARATION D EQUIPEMENTS DE COMMUNICATION 
9521Z,REPARATION DE PRODUITS ELECTRONIQUES GRAND PUBLIC 
9522Z,REPARATION D APPAREILS ELECTROMENAGERS ET D EQUIPEMENTS POUR LA MAISON ET LE JARDIN 
9523Z,REPARATION DE CHAUSSURES ET D ARTICLES EN CUIR 
9524Z,REPARATION DE MEUBLES ET D EQUIPEMENTS DU FOYER 
9525Z,REPARATION D ARTICLES D HORLOGERIE ET DE BIJOUTERIE 
9529Z,REPARATION D AUTRES BIENS PERSONNELS ET DOMESTIQUES 
9601A,BLANCHISSERIE-TEINTURERIE DE GROS 
9601B,BLANCHISSERIE-TEINTURERIE DE DETAIL 
9602A,COIFFURE 
9602B,SOINS DE BEAUTE 
9603Z,SERVICES FUNERAIRES 
9604Z,ENTRETIEN CORPOREL 
9609Z,AUTRES SERVICES PERSONNELS N.C.A. 
9700Z,ACTIVITES DES MENAGES EN TANT QU EMPLOYEURS DE PERSONNEL DOMESTIQUE 
9810Z,ACTIVITES INDIFFERENCIEES DES MENAGES EN TANT QUE PRODUCTEURS DE BIENS POUR USAGE PROPRE 
9820Z,ACTIVITES INDIFFERENCIEES DES MENAGES EN TANT QUE PRODUCTEURS DE SERVICES POUR USAGE PROPRE 
9900Z,ACTIVITES DES ORGANISATIONS ET ORGANISMES EXTRATERRITORIAUX
